bank_account_key,start_date,end_date,cash_change,ending_balance,calc_balance,period_status
104Meadow,12/1/14,12/31/14,"-4,433","2,968.24",2968.24,closed
108Meadow,12/1/14,12/31/14,"-4,963","4,410.24",4410.24,closed
108Pagoda,12/1/14,12/31/14,"-4,550","13,438.96",13438.96,closed
116Meadow,12/1/14,12/31/14,"-5,919","15,883.89",15883.89,closed
1342Newton,12/1/14,12/31/14,646,"3,422.78",3422.78,closed
711Parks,12/1/14,12/31/14,"4,323","5,322.83",5322.83,closed
104Meadow,1/1/15,1/31/15,403,"3,371.63",3371.63,closed
108Meadow,1/1/15,1/31/15,108,"4,518.63",4518.63,closed
108Pagoda,1/1/15,1/31/15,528,"13,967.18",13967.18,closed
116Meadow,1/1/15,1/31/15,794,"16,677.87",16677.87,closed
1342Newton,1/1/15,1/31/15,-936,"2,487.08",2487.08,closed
1905Morning,1/1/15,1/31/15,"2,496","11,375.99",11375.99,closed
711Parks,1/1/15,1/31/15,-616,"4,707.18",4707.18,closed
104Meadow,2/1/15,2/28/15,"1,546","4,917.39",4917.39,closed
108Meadow,2/1/15,2/28/15,583,"5,102.02",5102.02,closed
108Pagoda,2/1/15,2/28/15,535,"14,502.40",14502.4,closed
116Meadow,2/1/15,2/28/15,216,"16,893.69",16893.69,closed
1342Newton,2/1/15,2/28/15,559,"3,045.70",3045.7,closed
1905Morning,2/1/15,2/28/15,"1,278","12,653.57",12653.57,closed
711Parks,2/1/15,2/28/15,"-2,110","2,597.01",2597.01,closed
104Meadow,3/1/15,3/31/15,623,"5,540.78",5540.78,closed
108Meadow,3/1/15,3/31/15,731,"5,833.06",5833.06,closed
108Pagoda,3/1/15,3/31/15,689,"15,191.60",15191.6,closed
116Meadow,3/1/15,3/31/15,864,"17,757.67",17757.67,closed
1342Newton,3/1/15,3/31/15,"2,032","5,077.32",5077.32,closed
1905Morning,3/1/15,3/31/15,-207,"12,446.75",12446.75,closed
711Parks,3/1/15,3/31/15,"2,417","5,013.70",5013.7,closed
874Wintergreen,3/1/15,3/31/15,"7,219","-2,906.20",-2906.2,closed
104Meadow,4/1/15,4/30/15,613,"6,153.40",6153.4,closed
108Meadow,4/1/15,4/30/15,678,"6,511.26",6511.26,closed
108Pagoda,4/1/15,4/30/15,"1,954","17,145.75",17145.75,closed
116Meadow,4/1/15,4/30/15,834,"18,591.65",18591.65,closed
1342Newton,4/1/15,4/30/15,732,"5,808.94",5808.94,closed
1905Morning,4/1/15,4/30/15,"1,417","13,863.65",13863.65,closed
711Parks,4/1/15,4/30/15,-428,"4,585.77",4585.77,closed
8604Wagon,4/1/15,4/30/15,"1,500","1,500.00",1500,closed
874Wintergreen,4/1/15,4/30/15,-804,"-3,709.88",-3709.88,closed
104Meadow,5/1/15,5/31/15,599,"6,752.64",6752.64,closed
108Meadow,5/1/15,5/31/15,478,"6,989.65",6989.65,closed
108Pagoda,5/1/15,5/31/15,-482,"16,663.97",16663.97,closed
1117Brewer,5/1/15,5/31/15,"3,825","4,775.00",4775,closed
116Meadow,5/1/15,5/31/15,924,"19,515.63",19515.63,closed
1342Newton,5/1/15,5/31/15,732,"6,540.56",6540.56,closed
1905Morning,5/1/15,5/31/15,466,"14,329.98",14329.98,closed
711Parks,5/1/15,5/31/15,746,"5,331.37",5331.37,closed
874Wintergreen,5/1/15,5/31/15,-300,"-4,009.88",-4009.88,closed
104Meadow,6/1/15,6/30/15,-689,"6,064.03",6064.03,closed
108Meadow,6/1/15,6/30/15,-189,"6,801.04",6801.04,closed
108Pagoda,6/1/15,6/30/15,571,"17,235.19",17235.19,closed
1117Brewer,6/1/15,6/30/15,524,"5,298.78",5298.78,closed
116Meadow,6/1/15,6/30/15,-124,"19,392.02",19392.02,closed
1342Newton,6/1/15,6/30/15,-755,"5,785.18",5785.18,closed
1905Morning,6/1/15,6/30/15,730,"15,060.20",15060.2,closed
711Parks,6/1/15,6/30/15,222,"5,553.51",5553.51,closed
8604Wagon,6/1/15,6/30/15,-285,"1,215.00",1215,closed
874Wintergreen,6/1/15,6/30/15,392,"-3,617.74",-3617.74,closed
104Meadow,7/1/15,7/31/15,648,"6,712.42",6712.42,closed
108Meadow,7/1/15,7/31/15,728,"7,529.43",7529.43,closed
108Pagoda,7/1/15,7/31/15,413,"17,648.41",17648.41,closed
1117Brewer,7/1/15,7/31/15,620,"5,918.84",5918.84,closed
116Meadow,7/1/15,7/31/15,"3,598","22,990.41",22990.41,closed
1342Newton,7/1/15,7/31/15,"2,017","7,801.80",7801.8,closed
1905Morning,7/1/15,7/31/15,846,"15,906.10",15906.1,closed
711Parks,7/1/15,7/31/15,"1,260","6,813.51",6813.51,closed
8604Wagon,7/1/15,7/31/15,855,"2,069.61",2069.61,closed
874Wintergreen,7/1/15,7/31/15,312,"-3,305.60",-3305.6,closed
104Meadow,8/1/15,8/31/15,"1,953","8,665.81",8665.81,closed
108Meadow,8/1/15,8/31/15,778,"8,307.82",8307.82,closed
108Pagoda,8/1/15,8/31/15,793,"18,441.63",18441.63,closed
1117Brewer,8/1/15,8/31/15,"1,402","7,320.84",7320.84,closed
116Meadow,8/1/15,8/31/15,-210,"22,779.94",22779.94,closed
1342Newton,8/1/15,8/31/15,732,"8,533.42",8533.42,closed
1905Morning,8/1/15,8/31/15,"1,414","17,320.00",17320,closed
711Parks,8/1/15,8/31/15,942,"7,755.58",7755.58,closed
8604Wagon,8/1/15,8/31/15,"6,726","8,795.36",8795.36,closed
874Wintergreen,8/1/15,8/31/15,120,"-3,185.46",-3185.46,closed
104Meadow,9/1/15,9/30/15,-872,"7,794.20",7794.2,closed
108Meadow,9/1/15,9/30/15,"-1,568","6,740.10",6740.1,closed
108Pagoda,9/1/15,9/30/15,-267,"18,174.67",18174.67,closed
1117Brewer,9/1/15,9/30/15,"-2,925","4,396.33",4396.33,closed
116Meadow,9/1/15,9/30/15,"-2,638","20,142.33",20142.33,closed
1342Newton,9/1/15,9/30/15,"-2,360","6,173.73",6173.73,closed
1905Morning,9/1/15,9/30/15,50,"17,370.48",17370.48,closed
711Parks,9/1/15,9/30/15,"-1,098","6,657.65",6657.65,closed
8604Wagon,9/1/15,9/30/15,"-1,920","6,875.59",6875.59,closed
874Wintergreen,9/1/15,9/30/15,-143,"-3,328.15",-3328.15,closed
104Meadow,10/1/15,10/31/15,684,"8,477.95",8477.95,closed
108Meadow,10/1/15,10/31/15,579,"7,318.99",7318.99,closed
108Pagoda,10/1/15,10/31/15,-429,"17,745.89",17745.89,closed
1117Brewer,10/1/15,10/31/15,894,"5,290.30",5290.3,closed
116Meadow,10/1/15,10/31/15,824,"20,966.31",20966.31,closed
1342Newton,10/1/15,10/31/15,732,"6,905.35",6905.35,closed
1905Morning,10/1/15,10/31/15,"1,578","18,948.38",18948.38,closed
711Parks,10/1/15,10/31/15,819,"7,476.87",7476.87,closed
8604Wagon,10/1/15,10/31/15,-14,"6,861.94",6861.94,closed
874Wintergreen,10/1/15,10/31/15,-678,"-4,006.01",-4006.01,closed
104Meadow,11/1/15,11/30/15,"-2,769","5,709.34",5709.34,closed
108Meadow,11/1/15,11/30/15,-622,"6,697.38",6697.38,closed
108Pagoda,11/1/15,11/30/15,-679,"17,067.23",17067.23,closed
1117Brewer,11/1/15,11/30/15,-106,"5,184.27",5184.27,closed
116Meadow,11/1/15,11/30/15,"-1,476","19,490.29",19490.29,closed
1342Newton,11/1/15,11/30/15,-922,"5,982.97",5982.97,closed
1905Morning,11/1/15,11/30/15,"-1,801","17,147.78",17147.78,closed
711Parks,11/1/15,11/30/15,"-1,118","6,358.94",6358.94,closed
8604Wagon,11/1/15,11/30/15,846,"7,708.02",7708.02,closed
874Wintergreen,11/1/15,11/30/15,-488,"-4,493.87",-4493.87,closed
104Meadow,12/1/15,12/31/15,"-2,524","3,185.18",3185.18,closed
108Meadow,12/1/15,12/31/15,"-2,566","4,131.71",4131.71,closed
108Pagoda,12/1/15,12/31/15,"-2,908","14,159.71",14159.71,closed
1117Brewer,12/1/15,12/31/15,"-1,937","3,247.15",3247.15,closed
116Meadow,12/1/15,12/31/15,"-2,309","17,181.24",17181.24,closed
116MeadowSavings,12/1/15,12/31/15,150,"-10,349.51",-10349.51,closed
1342Newton,12/1/15,12/31/15,"-3,334","2,648.77",2648.77,closed
1905Morning,12/1/15,12/31/15,"-3,015","14,133.14",14133.14,closed
711Parks,12/1/15,12/31/15,"-2,933","3,425.69",3425.69,closed
8604Wagon,12/1/15,12/31/15,"-2,129","5,579.38",5579.38,closed
874Wintergreen,12/1/15,12/31/15,"1,357","-3,136.70",-3136.7,closed
104Meadow,1/1/16,1/31/16,"2,256","5,440.94",5440.94,closed
108Meadow,1/1/16,1/31/16,778,"4,910.10",4910.1,closed
108Pagoda,1/1/16,1/31/16,441,"14,601.05",14601.05,closed
1117Brewer,1/1/16,1/31/16,894,"4,141.12",4141.12,closed
116Meadow,1/1/16,1/31/16,669,"17,850.22",17850.22,closed
116MeadowSavings,1/1/16,1/31/16,150,"-10,199.45",-10199.45,closed
1342Newton,1/1/16,1/31/16,732,"3,380.39",3380.39,closed
1905Morning,1/1/16,1/31/16,479,"14,612.04",14612.04,closed
711Parks,1/1/16,1/31/16,842,"4,267.76",4267.76,closed
8604Wagon,1/1/16,1/31/16,"1,039","6,617.96",6617.96,closed
874Wintergreen,1/1/16,1/31/16,322,"-2,814.52",-2814.52,closed
104Meadow,2/1/16,2/29/16,95,"5,536.17",5536.17,closed
108Meadow,2/1/16,2/29/16,642,"5,552.49",5552.49,closed
108Pagoda,2/1/16,2/29/16,550,"15,150.88",15150.88,closed
1117Brewer,2/1/16,2/29/16,744,"4,885.21",4885.21,closed
116Meadow,2/1/16,2/29/16,525,"18,374.86",18374.86,closed
116MeadowSavings,2/1/16,2/29/16,150,"-10,049.39",-10049.39,closed
1342Newton,2/1/16,2/29/16,622,"4,002.01",4002.01,closed
1905Morning,2/1/16,2/29/16,512,"15,123.94",15123.94,closed
711Parks,2/1/16,2/29/16,794,"5,061.53",5061.53,closed
8604Wagon,2/1/16,2/29/16,"2,488","9,105.56",9105.56,closed
874Wintergreen,2/1/16,2/29/16,153,"-2,661.34",-2661.34,closed
104Meadow,3/1/16,3/31/16,697,"6,233.63",6233.63,closed
108Meadow,3/1/16,3/31/16,578,"6,130.88",6130.88,closed
108Pagoda,3/1/16,3/31/16,671,"15,822.22",15822.22,closed
1117Brewer,3/1/16,3/31/16,824,"5,709.18",5709.18,closed
116Meadow,3/1/16,3/31/16,669,"19,043.84",19043.84,closed
116MeadowSavings,3/1/16,3/31/16,150,"-9,899.33",-9899.33,closed
1342Newton,3/1/16,3/31/16,732,"4,733.63",4733.63,closed
1905Morning,3/1/16,3/31/16,561,"15,684.84",15684.84,closed
711Parks,3/1/16,3/31/16,842,"5,903.60",5903.6,closed
8604Wagon,3/1/16,3/31/16,-679,"8,426.64",8426.64,closed
874Wintergreen,3/1/16,3/31/16,269,"-2,392.55",-2392.55,closed
104Meadow,4/1/16,4/30/16,-321,"5,912.70",5912.7,closed
108Meadow,4/1/16,4/30/16,10,"6,141.27",6141.27,closed
108Pagoda,4/1/16,4/30/16,"-1,229","14,593.56",14593.56,closed
1117Brewer,4/1/16,4/30/16,-806,"4,903.15",4903.15,closed
116Meadow,4/1/16,4/30/16,"-1,001","18,042.82",18042.82,closed
116MeadowSavings,4/1/16,4/30/16,150,"-9,749.26",-9749.26,closed
1342Newton,4/1/16,4/30/16,532,"5,265.25",5265.25,closed
1905Morning,4/1/16,4/30/16,152,"15,836.74",15836.74,closed
711Parks,4/1/16,4/30/16,"1,567","7,470.67",7470.67,closed
8604Wagon,4/1/16,4/30/16,439,"8,865.22",8865.22,closed
874Wintergreen,4/1/16,4/30/16,"-1,299","-3,691.84",-3691.84,closed
104Meadow,5/1/16,5/31/16,803,"6,716.16",6716.16,closed
108Meadow,5/1/16,5/31/16,"1,436","7,577.66",7577.66,closed
108Pagoda,5/1/16,5/31/16,671,"15,264.90",15264.9,closed
1117Brewer,5/1/16,5/31/16,"1,592","6,495.12",6495.12,closed
116Meadow,5/1/16,5/31/16,-606,"17,436.80",17436.8,closed
116MeadowSavings,5/1/16,5/31/16,150,"-9,599.19",-9599.19,closed
1342Newton,5/1/16,5/31/16,"2,812","8,076.87",8076.87,closed
1905Morning,5/1/16,5/31/16,"1,886","17,722.64",17722.64,closed
711Parks,5/1/16,5/31/16,"2,267","9,737.74",9737.74,closed
8604Wagon,5/1/16,5/31/16,-486,"8,378.80",8378.8,closed
874Wintergreen,5/1/16,5/31/16,259,"-3,433.05",-3433.05,closed
104Meadow,6/1/16,6/30/16,"3,616","10,332.64",10332.64,closed
108Meadow,6/1/16,6/30/16,-577,"7,001.05",7001.05,closed
108Pagoda,6/1/16,6/30/16,766,"16,031.24",16031.24,closed
1117Brewer,6/1/16,6/30/16,258,"6,753.09",6753.09,closed
116Meadow,6/1/16,6/30/16,62,"17,498.78",17498.78,closed
116MeadowSavings,6/1/16,6/30/16,150,"-9,449.11",-9449.11,closed
1342Newton,6/1/16,6/30/16,"-2,361","5,715.99",5715.99,closed
1905Morning,6/1/16,6/30/16,"-2,282","15,440.29",15440.29,closed
711Parks,6/1/16,6/30/16,"-1,601","8,137.08",8137.08,closed
8604Wagon,6/1/16,6/30/16,"1,039","9,417.38",9417.38,closed
874Wintergreen,6/1/16,6/30/16,469,"-2,964.26",-2964.26,closed
104Meadow,7/1/16,7/31/16,"-2,728","7,604.93",7604.93,closed
108Meadow,7/1/16,7/31/16,"-1,312","5,688.72",5688.72,closed
108Pagoda,7/1/16,7/31/16,-734,"15,297.58",15297.58,closed
1117Brewer,7/1/16,7/31/16,"-1,661","5,092.23",5092.23,closed
116Meadow,7/1/16,7/31/16,-937,"16,561.76",16561.76,closed
116MeadowSavings,7/1/16,7/31/16,150,"-9,299.03",-9299.03,closed
1316Rosemon,7/1/16,7/31/16,"-167,736","-117,211.29",-117211.29,closed
1342Newton,7/1/16,7/31/16,389,"6,104.72",6104.72,closed
1905Morning,7/1/16,7/31/16,-413,"15,026.99",15026.99,closed
711Parks,7/1/16,7/31/16,-933,"7,203.62",7203.62,closed
8604Wagon,7/1/16,7/31/16,-961,"8,455.96",8455.96,closed
874Wintergreen,7/1/16,7/31/16,"-1,321","-4,285.45",-4285.45,closed
104Meadow,8/1/16,8/31/16,-297,"7,308.40",7308.4,closed
108Meadow,8/1/16,8/31/16,931,"6,619.36",6619.36,closed
108Pagoda,8/1/16,8/31/16,766,"16,063.92",16063.92,closed
1117Brewer,8/1/16,8/31/16,534,"5,626.20",5626.2,closed
116Meadow,8/1/16,8/31/16,"2,169","18,730.74",18730.74,closed
116MeadowSavings,8/1/16,8/31/16,150,"-9,148.95",-9148.95,closed
1316Rosemon,8/1/16,8/31/16,"1,621","-115,590.45",-115590.45,closed
1342Newton,8/1/16,8/31/16,882,"6,986.34",6986.34,closed
1905Morning,8/1/16,8/31/16,513,"15,539.78",15539.78,closed
711Parks,8/1/16,8/31/16,"1,132","8,335.94",8335.94,closed
8604Wagon,8/1/16,8/31/16,-300,"8,155.54",8155.54,closed
874Wintergreen,8/1/16,8/31/16,354,"-3,931.65",-3931.65,closed
104Meadow,9/1/16,9/30/16,740,"8,048.63",8048.63,closed
108Meadow,9/1/16,9/30/16,-352,"6,267.75",6267.75,closed
108Pagoda,9/1/16,9/30/16,"-1,010","15,054.17",15054.17,closed
1117Brewer,9/1/16,9/30/16,"1,509","7,135.17",7135.17,closed
116Meadow,9/1/16,9/30/16,289,"19,019.72",19019.72,closed
116MeadowSavings,9/1/16,9/30/16,150,"-8,998.86",-8998.86,closed
1316Rosemon,9/1/16,9/30/16,"113,650","-1,940.78",-1940.78,closed
1342Newton,9/1/16,9/30/16,"2,327","9,312.96",9312.96,closed
1905Morning,9/1/16,9/30/16,316,"15,855.45",15855.45,closed
711Parks,9/1/16,9/30/16,-103,"8,233.01",8233.01,closed
8604Wagon,9/1/16,9/30/16,-2,"8,154.03",8154.03,closed
874Wintergreen,9/1/16,9/30/16,-931,"-4,862.84",-4862.84,closed
104Meadow,10/1/16,10/31/16,"-1,174","6,875.02",6875.02,closed
108Meadow,10/1/16,10/31/16,963,"7,231.14",7231.14,closed
108Pagoda,10/1/16,10/31/16,-74,"14,980.51",14980.51,closed
1117Brewer,10/1/16,10/31/16,"1,064","8,199.14",8199.14,closed
116Meadow,10/1/16,10/31/16,637,"19,657.20",19657.2,closed
116MeadowSavings,10/1/16,10/31/16,150,"-8,848.77",-8848.77,closed
1316Rosemon,10/1/16,10/31/16,"15,803","13,861.82",13861.82,closed
1342Newton,10/1/16,10/31/16,-80,"9,233.45",9233.45,closed
1905Morning,10/1/16,10/31/16,644,"16,499.35",16499.35,closed
711Parks,10/1/16,10/31/16,605,"8,838.16",8838.16,closed
8604Wagon,10/1/16,10/31/16,846,"9,000.11",9000.11,closed
874Wintergreen,10/1/16,10/31/16,469,"-4,394.03",-4394.03,closed
104Meadow,11/1/16,11/30/16,898,"7,773.41",7773.41,closed
108Meadow,11/1/16,11/30/16,948,"8,179.53",8179.53,closed
108Pagoda,11/1/16,11/30/16,845,"15,825.48",15825.48,closed
1117Brewer,11/1/16,11/30/16,-150,"8,049.14",8049.14,closed
116Meadow,11/1/16,11/30/16,675,"20,332.18",20332.18,closed
116MeadowSavings,11/1/16,11/30/16,150,"-8,698.68",-8698.68,closed
1316Rosemon,11/1/16,11/30/16,"-12,203","1,658.91",1658.91,closed
1342Newton,11/1/16,11/30/16,882,"10,115.07",10115.07,closed
1905Morning,11/1/16,11/30/16,744,"17,243.25",17243.25,closed
711Parks,11/1/16,11/30/16,587,"9,424.85",9424.85,closed
8604Wagon,11/1/16,11/30/16,"1,139","10,138.69",10138.69,closed
874Wintergreen,11/1/16,11/30/16,651,"-3,743.35",-3743.35,closed
104Meadow,12/1/16,12/31/16,"-1,387","6,385.99",6385.99,closed
108Meadow,12/1/16,12/31/16,"-3,350","4,829.74",4829.74,closed
108Pagoda,12/1/16,12/31/16,"-7,567","8,258.76",8258.76,closed
1117Brewer,12/1/16,12/31/16,"-4,061","3,988.45",3988.45,closed
116Meadow,12/1/16,12/31/16,"-4,501","15,831.35",15831.35,closed
116MeadowSavings,12/1/16,12/31/16,150,"-8,548.58",-8548.58,closed
1316Rosemon,12/1/16,12/31/16,"-1,796",-137,-137,closed
1342Newton,12/1/16,12/31/16,"-5,264","4,851.17",4851.17,closed
1905Morning,12/1/16,12/31/16,"-3,557","13,685.96",13685.96,closed
711Parks,12/1/16,12/31/16,"-4,921","4,503.90",4503.9,closed
8604Wagon,12/1/16,12/31/16,"-5,153","4,986.07",4986.07,closed
874Wintergreen,12/1/16,12/31/16,"-1,059","-4,802.53",-4802.53,closed
104Meadow,1/1/17,1/31/17,-597,"5,789.38",5789.38,closed
108Meadow,1/1/17,1/31/17,848,"5,678.13",5678.13,closed
108Pagoda,1/1/17,1/31/17,628,"8,886.73",8886.73,closed
1117Brewer,1/1/17,1/31/17,"3,545","7,533.45",7533.45,closed
116Meadow,1/1/17,1/31/17,622,"16,453.33",16453.33,closed
116MeadowSavings,1/1/17,1/31/17,150,"-8,398.48",-8398.48,closed
1316Rosemon,1/1/17,1/31/17,"1,206","1,069.16",1069.16,closed
1342Newton,1/1/17,1/31/17,782,"5,632.79",5632.79,closed
1905Morning,1/1/17,1/31/17,"1,430","15,115.86",15115.86,closed
711Parks,1/1/17,1/31/17,897,"5,400.97",5400.97,closed
8604Wagon,1/1/17,1/31/17,"1,039","6,024.65",6024.65,closed
874Wintergreen,1/1/17,1/31/17,369,"-4,433.70",-4433.7,closed
104Meadow,2/1/17,2/28/17,813,"6,602.32",6602.32,closed
108Meadow,2/1/17,2/28/17,863,"6,541.07",6541.07,closed
108Pagoda,2/1/17,2/28/17,620,"9,506.25",9506.25,closed
1117Brewer,2/1/17,2/28/17,-686,"6,847.94",6847.94,closed
116Meadow,2/1/17,2/28/17,607,"17,059.86",17059.86,closed
116MeadowSavings,2/1/17,2/28/17,150,"-8,248.38",-8248.38,closed
1316Rosemon,2/1/17,2/28/17,"1,224","2,292.87",2292.87,closed
1342Newton,2/1/17,2/28/17,799,"6,431.96",6431.96,closed
1905Morning,2/1/17,2/28/17,-864,"14,252.31",14252.31,closed
711Parks,2/1/17,2/28/17,"2,340","7,740.59",7740.59,closed
8604Wagon,2/1/17,2/28/17,"2,731","8,755.78",8755.78,closed
874Wintergreen,2/1/17,2/28/17,697,"-3,736.73",-3736.73,closed
104Meadow,3/1/17,3/31/17,"2,293","8,895.71",8895.71,closed
108Meadow,3/1/17,3/31/17,948,"7,489.46",7489.46,closed
108Pagoda,3/1/17,3/31/17,428,"9,934.22",9934.22,closed
1117Brewer,3/1/17,3/31/17,969,"7,816.91",7816.91,closed
116Meadow,3/1/17,3/31/17,689,"17,748.84",17748.84,closed
116MeadowSavings,3/1/17,3/31/17,150,"-8,098.27",-8098.27,closed
1316Rosemon,3/1/17,3/31/17,"1,306","3,599.03",3599.03,closed
1342Newton,3/1/17,3/31/17,726,"7,158.10",7158.1,closed
1905Morning,3/1/17,3/31/17,744,"14,996.21",14996.21,closed
711Parks,3/1/17,3/31/17,-428,"7,312.66",7312.66,closed
8604Wagon,3/1/17,3/31/17,-486,"8,269.36",8269.36,closed
874Wintergreen,3/1/17,3/31/17,672,"-3,064.32",-3064.32,closed
104Meadow,4/1/17,4/30/17,-697,"8,199.10",8199.1,closed
108Meadow,4/1/17,4/30/17,948,"8,437.85",8437.85,closed
108Pagoda,4/1/17,4/30/17,538,"10,472.19",10472.19,closed
1117Brewer,4/1/17,4/30/17,"1,289","9,105.88",9105.88,closed
116Meadow,4/1/17,4/30/17,694,"18,442.82",18442.82,closed
116MeadowSavings,4/1/17,4/30/17,150,"-7,948.16",-7948.16,closed
1316Rosemon,4/1/17,4/30/17,"1,306","4,905.19",4905.19,closed
1342Newton,4/1/17,4/30/17,882,"8,039.72",8039.72,closed
1905Morning,4/1/17,4/30/17,576,"15,572.61",15572.61,closed
711Parks,4/1/17,4/30/17,997,"8,309.73",8309.73,closed
8604Wagon,4/1/17,4/30/17,989,"9,257.94",9257.94,closed
874Wintergreen,4/1/17,4/30/17,814,"-2,250.48",-2250.48,closed
104Meadow,5/1/17,5/31/17,"2,448","10,647.49",10647.49,closed
108Meadow,5/1/17,5/31/17,848,"9,286.24",9286.24,closed
108Pagoda,5/1/17,5/31/17,695,"11,166.94",11166.94,closed
1117Brewer,5/1/17,5/31/17,401,"9,506.85",9506.85,closed
116Meadow,5/1/17,5/31/17,589,"19,031.80",19031.8,closed
116MeadowSavings,5/1/17,5/31/17,150,"-7,798.04",-7798.04,closed
1316Rosemon,5/1/17,5/31/17,"1,306","6,211.35",6211.35,closed
1342Newton,5/1/17,5/31/17,882,"8,921.34",8921.34,closed
1905Morning,5/1/17,5/31/17,644,"16,216.51",16216.51,closed
711Parks,5/1/17,5/31/17,"1,137","9,446.80",9446.8,closed
8604Wagon,5/1/17,5/31/17,819,"10,076.52",10076.52,closed
874Wintergreen,5/1/17,5/31/17,143,"-2,107.72",-2107.72,closed
104Meadow,6/1/17,6/30/17,712,"11,359.88",11359.88,closed
108Meadow,6/1/17,6/30/17,-4,"9,282.63",9282.63,closed
108Pagoda,6/1/17,6/30/17,614,"11,780.91",11780.91,closed
1117Brewer,6/1/17,6/30/17,831,"10,338.17",10338.17,closed
116Meadow,6/1/17,6/30/17,-179,"18,852.78",18852.78,closed
116MeadowSavings,6/1/17,6/30/17,150,"-7,647.92",-7647.92,closed
1316Rosemon,6/1/17,6/30/17,"4,365","10,576.51",10576.51,closed
1342Newton,6/1/17,6/30/17,656,"9,577.78",9577.78,closed
1905Morning,6/1/17,6/30/17,503,"16,719.41",16719.41,closed
711Parks,6/1/17,6/30/17,"2,057","11,503.97",11503.97,closed
8604Wagon,6/1/17,6/30/17,723,"10,799.10",10799.1,closed
874Wintergreen,6/1/17,6/30/17,-48,"-2,155.39",-2155.39,closed
104Meadow,7/1/17,7/31/17,953,"12,313.27",12313.27,closed
108Meadow,7/1/17,7/31/17,"1,098","10,381.02",10381.02,closed
108Pagoda,7/1/17,7/31/17,858,"12,638.88",12638.88,closed
1117Brewer,7/1/17,7/31/17,"1,089","11,427.14",11427.14,closed
116Meadow,7/1/17,7/31/17,824,"19,676.76",19676.76,closed
116MeadowSavings,7/1/17,7/31/17,150,"-7,497.79",-7497.79,closed
1316Rosemon,7/1/17,7/31/17,"-1,583","8,993.92",8993.92,closed
1342Newton,7/1/17,7/31/17,882,"10,459.40",10459.4,closed
1905Morning,7/1/17,7/31/17,769,"17,488.31",17488.31,closed
711Parks,7/1/17,7/31/17,-950,"10,554.33",10554.33,closed
